"","title","description","redirect_url","latitude","longitude","salary_max","salary_is_predicted","id","salary_min","adref","created","__CLASS__","contract_type","contract_time","__CLASS__","label","tag","__CLASS__","display_name","display_name","__CLASS__","area"
"1","Registered Nurse","Nurses change lives As a Registered Nurse in Hinckley, Leicester and the surrounds, you'll work in a variety of care homes and other establishments in your area. You'll be providing high quality nursing care to our service users at all times. We're powered by our fantastic network of 9,000-strong healthcare professionals and bespoke tech that offers a market-leading employee experience. Thanks to our handy app, HealthForceGo, you can pick up shifts to suit you when you're on the go, and you are¡­","https://www.adzuna.co.uk/jobs/land/ad/1853339471?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=30491FF103DF0E8D0134DF5E70820F073D723E0D",52.6348,-1.12952,54009,"0","1853339471",0,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg1MzMzOTQ3MSIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.37GJxCb23yxMA-p-d7QFPs6dQmNCvEbP4a4c10NwaWU","2020-12-01T00:21:42Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Company","Newcross Healthcare Solutions","Leicester, Leicestershire","Adzuna::API::Response::Location","c(""UK"", ""East Midlands"", ""Leicestershire"", ""Leicester"")"
"2","Community Care Worker","Make a difference every day ¨C Become a care assistant. Nothing compares to the feeling that comes from knowing that you¡¯ve brightened up someone¡¯s day ¨C especially when that someone is a vulnerable adult. Abacare are on the hunt for warm and kind people like you to join our amazing team of part and full time care assistants in CG37, CF38, CF44, CF45 The fact that you¡¯re thinking about becoming a care assistant makes you part of a special group of people ¨C the most compassionate and interesting ¡­","https://www.adzuna.co.uk/jobs/land/ad/1861124491?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=CEBBDC32B6D203B5EF51945F0EF8CC3398A08820",51.713699,-3.44509,16800,"0","1861124491",16800,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODYxMTI0NDkxIn0.-hS9fjiLv4Zi1jheIJw5cO2VsU5UAtdYWj_qMToJbOY","2020-12-04T08:15:08Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Social work Jobs","social-work-jobs","Adzuna::API::Response::Company","Abacare","Aberdare, Rhondda Cynon Taff","Adzuna::API::Response::Location","c(""UK"", ""Wales"", ""Rhondda Cynon Taff"", ""Aberdare"")"
"3","Night Worker","Night Worker - Winchester Permanent 42 hours per week - ¡ê21,415 Are you looking for a challenging and rewarding role where you are able to support people every day and provide a safe environment for them to feel safe and comfortable? Do you enjoy working in an environment where every shift is different to the next? Then this could be the role for you. You will be working as part of the night team to provide support to our homeless clients. You will love helping others by being on hand when they¡­","https://www.adzuna.co.uk/jobs/land/ad/1871673352?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=BB14F405D3F3DDDE511EF8DC9BD6A5114FA3CDB1",51.062901,-1.3165,21415,"0","1871673352",21415,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg3MTY3MzM1MiIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.RlIH9LwMw5Dj-AM9a3MD-uZCR78ReucWunAXd9gnw5c","2020-12-09T18:18:03Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Social work Jobs","social-work-jobs","Adzuna::API::Response::Company","Two Saints Housing Association","Winchester, Hampshire","Adzuna::API::Response::Location","c(""UK"", ""South East England"", ""Hampshire"", ""Winchester"")"
"4","Senior Registered Nurse with up to ¡ê2000 welcome incentive","Job Description Senior Registered Nurse -with up to ¡ê2000 welcome incentive (terms apply) Advert created: 11/11/2020 Ref: coltencare/AC/84/222 Advert closing date: 11/12/2020 Please note you will be contacted prior to the closing date, interviews will be ongoing and we may close this vacancy early . Based at Avon Cliff, Bournemouth in Dorset. 36 hours per week, days, including alternate weekends and occasional nights Additional hours / overtime opportunities available to suit your circumstances¡­","https://www.adzuna.co.uk/jobs/land/ad/1816381762?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=2901D24701301855C65452491DEE4429942F87A3",50.721699,-1.87853,46310,"0","1816381762",0,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgxNjM4MTc2MiIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.sXHpe1mZLRGzh2djQV0ewiBdq0Wxmeh5YYUXpO8cfTY","2020-11-11T20:09:44Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Company","Colten Care Ltd","Bournemouth, Dorset","Adzuna::API::Response::Location","c(""UK"", ""South West England"", ""Dorset"", ""Bournemouth"")"
"5","Software Development, Testing and Dev Ops graduate programme","Software Development and Implementation programme (Java, Testing, Dev Ops) Ignite your career in IT with Capita Capita has been working across the public and private sectors for more than 30 years improving customer and public services and adding value to the UK and local economies. Our 61,000 employees combine our talent, creativity, software, technology and innovation to deliver business critical services and solutions across all our markets, solving the complex challenges of our clients, inc¡­","https://www.adzuna.co.uk/jobs/land/ad/1857408425?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=898420DE0C0A9F5142CEA8FF9103F045817E34BE",51.451818,-0.02806,24500,"0","1857408425",0,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODU3NDA4NDI1In0.dejsdBnXER_ggF8ko4ONq4hnsMKYkwFBAOfQlc6odww","2020-12-02T16:18:25Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Graduate Jobs","graduate-jobs","Adzuna::API::Response::Company","Capita","South East London, London","Adzuna::API::Response::Location","c(""UK"", ""London"", ""South East London"")"
"6","Support Worker","Job Title: Support Worker Location: Reigate, RH2 Hours: part time Salary: ¡ê8.80 Information: This role is shift work. Driver, full UK driving licence, is desired not essential What do our Support Workers do? Supporting someone isn¡¯t just personal care; it¡¯s so much more. As a Support Worker you could be supporting individuals with swimming, assisting with the weekly shop, or even helping to administer the right medication. Our Support Workers are focused on active listening, meaningful engageme¡­","https://www.adzuna.co.uk/jobs/land/ad/1848556338?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=A3F095741D25285176A8845AB521A6E3512A09DD",51.237598,-0.205832,16896,"0","1848556338",16896,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODQ4NTU2MzM4In0.WRsR7aVmqAZZeYdT_UKDghfphcpdwzO3JI3DM3GtQuY","2020-11-28T02:10:35Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Social work Jobs","social-work-jobs","Adzuna::API::Response::Company","Achieve together","Reigate, Surrey","Adzuna::API::Response::Location","c(""UK"", ""South East England"", ""Surrey"", ""Reigate"")"
"7","Lead JavaScript Developer","My client is looking to recruit a passionate Lead Full Stack Software Engineer who is experienced with the full Secure Software Development Life Cycle (SSDLC), change management, and modern tools and pipelines. We're open to someone who is technology agnostic who is excited by the prospect of working with new and latest technologies. The successful candidate will be able to lead a small but growing team of software engineers, act as a technical lead and be comfortable developing exciting greenf¡­","https://www.adzuna.co.uk/jobs/land/ad/1795121300?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=F025198C549336B5722EA7189B422FCDA957E5E1",NA,NA,80000,"0","1795121300",60000,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxNzk1MTIxMzAwIn0.9WqpG4eRbUeWZl6TeJ3W4A1I8VLrIDjWFUu52sfF7hY","2020-10-31T23:38:20Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","IT Jobs","it-jobs","Adzuna::API::Response::Company","Rbw Consulting Limited","The City, Central London","Adzuna::API::Response::Location","c(""UK"", ""London"", ""Central London"", ""The City"")"
"8","Community adviser working with the Roma community","Community advisers working with the Roma community 25 hours a week Contract: 1 st February 2021 to 7 th May 2021 plus holiday Salary dependent on location Band 1 - ¡ê16.93 Band 2 - ¡ê14.67 Band 3 - ¡ê13.01 Hours are flexible and need to be worked to best support the community the role works with (this will include some evening and weekend work) Use your language skills to make a difference The census is a survey of the entire population of England and Wales that happens every 10 years. It¡¯s run by¡­","https://www.adzuna.co.uk/jobs/land/ad/1833856202?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=379C7E74A119005456B75E85CB99003FA3AE608C",53.4338,-2.907,17781.92,"1","1833856202",17781.92,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODMzODU2MjAyIn0.zM0u_8lAw5o25ItVbT1kNCNFUptwwZAbJRv4k70wfco","2020-11-19T20:36:47Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Social work Jobs","social-work-jobs","Adzuna::API::Response::Company","Office for National Statistics   Census","West Derby, Liverpool","Adzuna::API::Response::Location","c(""UK"", ""North West England"", ""Merseyside"", ""Liverpool"", ""West Derby"")"
"9","Nurse","Staff Nurse - ¡ê19 to ¡ê40 per hour - Lots of Work  Ltd Company Nurses Welcome  WANT TO EARN OVER ¡ê1,000 PER WEEK AND UP TO ¡ê1,500 A WEEK AS AN AGENCY STAFF NURSE ((RGN / RMN) Staff Nurse (RGN / RMN)) HAMILTON CROSS Agency Staff Nurse (s) (RGN / RMN) regularly earn in excess of ¡ê1,000 per week undertaking flexible shifts that suit them. ¡ê19.00 - ¡ê40.00 per hour (paid weekly). Flexible work for Staff Nurse - RGN / RMN, full or part time roles, work when you want to work, DAYS or NIGHTS DRIVERS/CAR¡­","https://www.adzuna.co.uk/jobs/land/ad/1799661398?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=4079681AE8CE9BD66C871D3476B62E9AEEA76F52",53.383801,-2.3547,76800,"0","1799661398",36480,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTc5OTY2MTM5OCIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.BeTtJ861Mt1mdOOmUh6udvo2ICN9wq01Wi7lAkbxoKA","2020-11-03T01:40:58Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Company","Hamilton Cross","Altrincham, Greater Manchester","Adzuna::API::Response::Location","c(""UK"", ""North West England"", ""Greater Manchester"", ""Altrincham"")"
"10","Registered Nurse","About The Role Bank Nurse Paid PVG Check. We are looking for a passionate and caring individual with a proven ability to lead, motivate and mentor a team. Our main aim is to help our residents maintain their dignity and independence in our homely surrounding. As a Nurse at HC One, you¡¯ll value kindness above all. Because it drives every aspect of our Dementia, Nursing, Residential and Specialist care homes. Every single person who works here understands that our residents are people just like t¡­","https://www.adzuna.co.uk/jobs/land/ad/1833605506?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=1F60094A840A2783D3EAE5C4ECA5AE5BDF90D0EF",56.1194,-3.93588,30720,"0","1833605506",30720,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODMzNjA1NTA2In0.YIAt6yKRfiZM7Km8vlI2QZ1VpF9hoojAvqqnbpJoSoo","2020-11-19T18:04:38Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Company","HC One Limited","Stirling, County Stirling","Adzuna::API::Response::Location","c(""UK"", ""Scotland"", ""County Stirling"", ""Stirling"")"
