"","title","created","redirect_url","longitude","id","latitude","salary_is_predicted","salary_max","__CLASS__","salary_min","adref","description","contract_time","contract_type","label","tag","__CLASS__","display_name","__CLASS__","__CLASS__","display_name","area"
"1","Care Assistant","2020-11-23T22:18:41Z","https://www.adzuna.co.uk/jobs/land/ad/1840757941?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=077D7CA6364D34693F7D8DA5521C9DBF0D1112B2",1.08052,"1840757941",51.277302,"0",18144,"Adzuna::API::Response::Job",18144,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg0MDc1Nzk0MSIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.3ODZG1WvoMb8mY4ds-r9YoA8dsBOqnka4cA8cWZX7KQ","Ready to become a Hero, then make a difference with care. ¡ê9.45 Per Hour also Mileage contribution available Contracted Hours Available Driver: Yes Recruiting for Canterbury, Thanet and surrounding areas. MiHomecare, a national leading provider for home care services, are recruiting for Care Workers who drive and have access to a vehicle to operate across Canterbury and surrounding areas. No experience needed as we give full training. We are currently recruiting for candidates who can commit be¡­",NA,NA,"Social work Jobs","social-work-jobs","Adzuna::API::Response::Category","Mihomecare Ltd","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Canterbury, Kent","c(""UK"", ""South East England"", ""Kent"", ""Canterbury"")"
"2","Domiciliary Carers","2020-12-07T12:57:06Z","https://www.adzuna.co.uk/jobs/land/ad/1866819699?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=650864A04D571DD3F17CA718E30B7EF36A2591E0",-2.209428,"1866819699",53.379994,"1",14817.89,"Adzuna::API::Response::Job",14817.89,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODY2ODE5Njk5In0.3KmE29xQdO-OraHA9_w3D7fsgK59XGbSTO_pzlXkpLI","Are you looking for a Care Assistant Job in Burton upon Trent? Would you like to work for an organisation that is changing the face of care in the community? Cera Care is recruiting in the Burton Upon Trent area with immediate starts available. Amongst other benefits we offer a FREE DBS, paid assessment day training and a joining bonus of ¡ê250. Your role is based within client's homes and you will usually visit several clients each day - therefore a driving license and your own vehicle is essen¡­","full_time",NA,"Social work Jobs","social-work-jobs","Adzuna::API::Response::Category","Cera Care","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Heald Green, Cheadle","c(""UK"", ""North West England"", ""Greater Manchester"", ""Cheadle"", ""Heald Green"")"
"3","Primary Teacher (Haringey)","2020-10-26T17:39:46Z","https://www.adzuna.co.uk/jobs/land/ad/1784667520?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=D5401576793A4BE4DB2E4BBCFCFFA6A62C85921A",-0.123313,"1784667520",51.586237,"0",43200,"Adzuna::API::Response::Job",34800,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTc4NDY2NzUyMCIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.LsXUYWfME1v2t0tuJw4Ads4Clbz78AVDy2EECb7IZCw","Primary Teachers required: Zen Educate is an online platform that cuts down agency fees. Teachers in London earn significantly more as Zen Educate cuts the expensive agency fees that push pay down for Primary Teachers and push prices up for schools. Key areas we are looking for primary trained teachers are in the boroughs of Wandsworth, Fulham, Lambeth, Southwark, Lewisham, Ealing, Hounslow, Harrow, Barnet, Hackney, Newham, Redbridge, Croydon, Hounslow and Haringey. We make exceptions for Outst¡­","full_time","contract","Teaching Jobs","teaching-jobs","Adzuna::API::Response::Category","Zen Educate","Adzuna::API::Response::Company","Adzuna::API::Response::Location","North London, London","c(""UK"", ""London"", ""North London"")"
"4","Complex Care Associate","2020-11-30T14:14:33Z","https://www.adzuna.co.uk/jobs/land/ad/1852440951?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=87DFF634BCF496F5CF0B32D87034E45BB5014673",-1.941596,"1852440951",51.352379,"0",25000,"Adzuna::API::Response::Job",25000,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODUyNDQwOTUxIn0.ODygF5Bz7gu1kAxIYTQJ35K55p9q5OHSoiW7dgkPqEg","If you are motivated by providing the highest standards of care and have a natural ability to build strong, trusting relationships and inspire those around you, then we'd love to hear from you. Come join Newcross and make a real difference Job title: Complex Care Associate Location: Gloucestershire, GL1 1PX or Wiltshire based, SN1 1HH Hours of work: Monday to Friday, 9am to 5.30pm (Flexibility towards weekend work) Salary: ¡ê25,000 PA Benefits: Car allowance Excellent bonus potential of up to ¡ê4¡­",NA,NA,"Sales Jobs","sales-jobs","Adzuna::API::Response::Category","Newcross Healthcare Solutions","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Wiltshire, South West England","c(""UK"", ""South West England"", ""Wiltshire"")"
"5","Personal Care Workers","2020-12-07T12:57:41Z","https://www.adzuna.co.uk/jobs/land/ad/1866823441?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=EA3AC69644CBAF79492E03FA638057EDF01B3156",-1.395581,"1866823441",53.931493,"1",14579.92,"Adzuna::API::Response::Job",14579.92,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODY2ODIzNDQxIn0.44Dknnq55BNBluFRmqYY9pDH197dzxvhx2qedtEoATc","Are you looking for a Care Assistant Job in Rotherham? Would you like to work for an organisation that is changing the face of care in the community? Cera Care is recruiting in the Rotherham area with immediate starts available. Amongst other benefits we offer a FREE DBS, paid assessment day training and a joining bonus of ¡ê250. Your role is based within client's homes and you will usually visit several clients each day - therefore a driving license and your own vehicle is essential in most loc¡­","full_time",NA,"Social work Jobs","social-work-jobs","Adzuna::API::Response::Category","Cera Care","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Kirk Deighton, Wetherby","c(""UK"", ""Yorkshire And The Humber"", ""West Yorkshire"", ""Wetherby"", ""Kirk Deighton"")"
"6","Service Manager - Learning Disabilities","2020-12-08T02:17:51Z","https://www.adzuna.co.uk/jobs/land/ad/1868067056?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=8F6E3F1692E64838E76D00A0A3099BE44152A118",-0.007934,"1868067056",53.3671,"1",31915.33,"Adzuna::API::Response::Job",31915.33,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODY4MDY3MDU2In0.zKL-rrlBQu2-X5g4RP7avJ9sTXJlu24IiNpVyUPCaoA","Are you seeking a service manager opportunity in the LOUTH area? Do you have proven experience in the learning disabilities field and have the drive and experience to oversee the successful running of medium sized service? If so, I am looking for you You will join an established and well respected provider who has an established and developing presence within the East Midlands region. Your role as service manager will require you to oversee the day to day running of a medium sized setting that ¡­",NA,NA,"Social work Jobs","social-work-jobs","Adzuna::API::Response::Category","Brook Street UK","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Louth, Lincolnshire","c(""UK"", ""East Midlands"", ""Lincolnshire"", ""Louth"")"
"7","Professional Home Carer","2020-12-07T12:57:25Z","https://www.adzuna.co.uk/jobs/land/ad/1866821853?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=E31B8A647DD778BE2ADCAB988CF305E2FBA96A1C",-1.35247,"1866821853",53.66693,"1",14507.96,"Adzuna::API::Response::Job",14507.96,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg2NjgyMTg1MyIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.q48y3QUG8eTjrGVAXoY6yPyLl6cf66cAWKNSWEdr3jQ","Are you looking for a Care Assistant Job in Rotherham? Would you like to work for an organisation that is changing the face of care in the community? Cera Care is recruiting in the Rotherham area with immediate starts available. Amongst other benefits we offer a FREE DBS, paid assessment day training and a joining bonus of ¡ê250. Your role is based within client's homes and you will usually visit several clients each day - therefore a driving license and your own vehicle is essential in most loc¡­","full_time",NA,"Social work Jobs","social-work-jobs","Adzuna::API::Response::Category","Cera Care","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Featherstone, Pontefract","c(""UK"", ""Yorkshire And The Humber"", ""West Yorkshire"", ""Pontefract"", ""Featherstone"")"
"8","Front End Developer","2020-08-12T18:13:27Z","https://www.adzuna.co.uk/jobs/land/ad/1640089346?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=C9A0A0DFEA35990674A4A6308FB9FE94942383A9",-0.139134,"1640089346",51.503378,"0",1e+05,"Adzuna::API::Response::Job",50000,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxNjQwMDg5MzQ2In0.3WHgtFe8Gf5qBeZSZok1P9hxY15h4dTjAyARAVpGw6A","We are growing our team to continue innovating and expand the application of our platform beyond waste clearance into other sectors and countries, as well as spinning out a new app-based marketplace venture. To support this growth, we are looking for a React/Redux developer to join our team based in our Putney office. You will work with a smart team with the opportunity to shape the front-end development. You'll create engaging user experiences, with structured code that is fast, scalable, reli¡­",NA,"permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","AnyJunk","Adzuna::API::Response::Company","Adzuna::API::Response::Location","London, UK","c(""UK"", ""London"")"
"9","iOS Developer","2020-12-08T02:17:50Z","https://www.adzuna.co.uk/jobs/land/ad/1868066977?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=0684629BE79E43C4F5CB93B8056753C206E09849",-3.327942,"1868066977",55.943116,"0",55000,"Adzuna::API::Response::Job",45000,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODY4MDY2OTc3In0.6RSWNoyTv3LQH1B9wi-1YZ2Th34gHwTXOeAa52kcQ4E","I'm looking for an iOS/Swift Developer to join a very exciting tech start-up based in Edinburgh. As an iOS/Swift Developer, you'll be responsible for the development and maintenance of applications for mobile and tablet. Your primary focus will be the design and development of such applications as well as integration with back-end services. You will be working alongside other engineers and developers working on different layers of the infrastructure. Therefore, a commitment to collaborative pro¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","Opus Recruitment Solutions Ltd","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Edinburgh, Scotland","c(""UK"", ""Scotland"", ""Edinburgh"")"
"10","Software Engineer (Web Crawling & Reporting)","2020-11-25T14:09:39Z","https://www.adzuna.co.uk/jobs/land/ad/1843944803?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=2B85A694E54157C7310073D41C7A96402532C28C",-2.23438,"1843944803",53.480701,"0",30000,"Adzuna::API::Response::Job",0,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg0Mzk0NDgwMyIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.Zz3GEvAoPs4PaWTnNhaer2CCglspZkbs7H9A9Xjvpbs","Software Engineer (Web Crawling & Reporting) Salary up to ¡ê30,000. Fully remote at the moment, remote at least one day per week normally. About Skuuudle Skuuudle is a high-growth SaaS company headquartered in Manchester. From Fortune 500 companies to startups, retailers and distributors around the world use Skuuudle to track their ecommerce competitors, match products and make winning pricing decisions. We¡¯re looking for a talented, hard-working software engineer with strong creative problem-so¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","Skuuudle","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Manchester, Greater Manchester","c(""UK"", ""North West England"", ""Greater Manchester"", ""Manchester"")"
